,text,label,label_id
37,experiencing fatigue loss yellowish skin of appetite nausea eyes history of family yellowing,Gastroenterology,3
38,i am having rate hunger menstruation fatigue fast excessive muscle diarrhoea abnormal swings restlessness loss mood weight weakness irritability sweating heart,Endocrinology,2
39,suffering from breathlessness fever family sputum fatigue mucoid high cough history,Pulmonology,7
40,dealing with urination rash skin pain spotting stomach micturition burning,Dermatology,1
41,my main issue is pain body of spots malaise eyes loss joint pain chills headache fatigue the vomiting back over fever red pain skin behind appetite rash nausea high,Infectious,4
42,dealing with headache nausea muscle fever chills pain vomiting sweating high,Infectious,4
43,experiencing family fever cough fatigue sputum high breathlessness history mucoid,Pulmonology,7
44,feeling swings diarrhoea rate hunger fatigue restlessness heart muscle irritability menstruation abnormal fast excessive weight weakness mood loss,Endocrinology,2
45,my main issue is chest mild phlegm of sweating swelled lymph cough vomiting eyes loss chills fever nodes loss yellowing weight of in breathlessness sputum pain malaise fever appetite fatigue blood high,Pulmonology,7
46,having vomiting ulcers on stomach acidity chest cough pain tongue pain,Gastroenterology,3
47,suffering from ulcers acidity tongue stomach pain pain chest vomiting on cough,Gastroenterology,3
48,suffering from rash around ooze crust nose yellow skin red blister sore fever high,Dermatology,1
49,feeling body of one altered headache sensorium weakness vomiting side,Neurology,5
50,i feel back pain weakness dizziness neck limbs pain in lately,Neurology,5
51,feeling around rash nose ooze blister yellow red skin crust sore,Dermatology,1
52,my main issue is cough fever history fatigue breathlessness high mucoid sputum family,Pulmonology,7
53,feeling breathlessness sweating chest vomiting pain,Cardiology,0
54,i have swelling joints neck stiffness walking weakness stiff painful muscle movement,Orthopedics,6
55,i think it's foul smell feel of burning urine urine of micturition continuous,Urology,8
56,having pain loss of in dizziness balance pain neck limbs weakness back,Neurology,5
57,experiencing walking neck swelling joint pain pain joints hip pain painful joint,Orthopedics,6
58,having over spots malaise nausea vomiting the red pain rash fatigue eyes pain headache loss muscle high fever appetite body pain of joint back pain skin behind chills,Infectious,4
59,my main issue is itching fever appetite red body mild lethargy spots skin over headache lymph loss rash swelled nodes of malaise fatigue,Infectious,4
60,i think it's foul micturition urine discomfort bladder of continuous feel of smell burning urine,Urology,8
61,experiencing fever wasting contacts marital throat in patches muscle high extra,Infectious,4
62,i have movement weakness walking stiff painful stiffness muscle neck swelling joints,Orthopedics,6
63,experiencing dark itching fatigue yellowish vomiting fever abdominal skin loss weight high urine pain,Gastroenterology,3
64,i feel muscle joint skin pain chills loss behind fever body pain rash the headache pain of eyes fatigue appetite over back vomiting malaise nausea spots high pain red lately,Infectious,4
65,suffering from blackheads rash pimples pus skin filled,Dermatology,1
66,i have blood obesity bruising vessels cramps swollen swollen legs fatigue,Cardiology,0
67,feeling pain nails in small nails skin rash dents like dusting joint inflammatory silver,Dermatology,1
68,dealing with drying palpitations distorted slurred vomiting headache fatigue and irritability hunger and speech anxiety blurred excessive vision lips tingling sweating nausea,Endocrinology,2
69,having vomiting eyes dehydration diarrhoea sunken,Gastroenterology,3
70,i am having nausea eyes joint skin fatigue pain stomach of pain appetite failure acute urine dark vomiting abdominal liver loss coma yellowing bleeding yellowish of,Gastroenterology,3
71,i think it's pain pain on tongue acidity chest cough stomach ulcers,Gastroenterology,3
72,having pain stomach burning itching micturition spotting urination,Dermatology,1
73,i think it's vomiting distention of stomach swelling abdomen overload alcohol consumption pain abdominal fluid of history of,Gastroenterology,3
74,my main issue is wasting marital patches contacts fever muscle in high extra throat,Infectious,4
75,feeling vomiting high fever sweating pain diarrhoea nausea chills muscle headache,Infectious,4
76,having pain vomiting spots red rash pain fatigue body eyes back skin fever malaise the headache nausea appetite over muscle behind loss pain high of joint pain,Infectious,4
77,having mood diarrhoea weight weakness loss fatigue heart swings hunger irritability menstruation muscle restlessness abnormal excessive sweating rate fast,Endocrinology,2
78,having stiff hunger indigestion blurred and irritability vision headache depression neck excessive distorted acidity,Neurology,5
79,i think it's vomiting diarrhoea eyes sunken,Gastroenterology,3
80,i have sweating breathlessness pain chest vomiting,Cardiology,0
81,my main issue is unsterile eyes injections yellowish blood fatigue transfusion abdominal of dark yellow receiving malaise yellowing appetite receiving loss urine of lethargy urine skin pain,Gastroenterology,3
82,experiencing palpitations vision headache and hunger speech fatigue blurred and drying excessive lips irritability distorted slurred sweating nausea anxiety tingling,Endocrinology,2
83,suffering from vomiting history of fluid abdomen pain consumption stomach alcohol distention yellowish of skin swelling overload of abdominal,Gastroenterology,3
84,experiencing contacts fever marital patches throat in muscle extra high wasting,Infectious,4
85,i am having ulcers cough on pain vomiting stomach chest tongue pain acidity,Gastroenterology,3
86,dealing with rash nodal skin eruptions itching skin,Dermatology,1
87,my main issue is filled pimples rash blackheads skin scurring pus,Dermatology,1
88,having smell feel foul continuous bladder of urine discomfort urine of,Urology,8
89,feeling urine bladder continuous foul feel smell discomfort burning of of urine micturition,Urology,8
90,i think it's itching vomiting pain weight loss yellowish urine abdominal fatigue dark skin fever high,Gastroenterology,3
91,i think it's restlessness swings abnormal menstruation diarrhoea weakness irritability hunger sweating fast rate mood excessive loss weight heart muscle,Endocrinology,2
92,i have nodal skin dischromic skin rash eruptions patches itching,Dermatology,1
93,suffering from abdominal (typhos) belly pain diarrhoea high chills constipation nausea headache pain look fever toxic fatigue vomiting,Infectious,4
94,i feel joint pain of abdominal fatigue yellowish vomiting loss nausea urine dark pain appetite skin lately,Gastroenterology,3
95,my main issue is eyes joint mild abdominal dark muscle pain loss of yellowing skin pain fever yellowish urine appetite nausea of pain vomiting,Gastroenterology,3
96,i have eyes and enlarged swings cold weight and fatigue gain face extremeties puffy brittle thyroid menstruation mood dizziness abnormal irritability hands nails lethargy feets depression swollen,Endocrinology,2
97,feeling chills watering shivering eyes continuous sneezing from,Dermatology,1
98,dealing with yellowing fatigue abdominal urine malaise urine receiving itching injections eyes appetite yellow receiving yellowish blood unsterile loss of pain transfusion dark skin lethargy of,Gastroenterology,3
99,i am having dehydration diarrhoea vomiting,Gastroenterology,3
100,dealing with joint painful pain pain knee pain walking swelling neck hip pain joints joint,Orthopedics,6
101,i have yellowing nausea family fatigue appetite loss of of eyes history,Gastroenterology,3
102,suffering from red behind chills skin body pain the vomiting of fever eyes pain headache malaise pain rash nausea loss joint appetite muscle back spots high fatigue over pain,Infectious,4
103,dealing with malaise rusty fast chest breathlessness phlegm sputum high fatigue cough pain fever sweating heart rate,Pulmonology,7
104,i feel eyes appetite nausea of vomiting yellowish fatigue dark pain abdominal yellowing of pain loss skin joint urine lately,Gastroenterology,3
105,feeling muscle weakness swelling joints stiff neck painful stiffness movement walking,Orthopedics,6
106,i think it's headache visual neck depression hunger excessive blurred and acidity irritability indigestion distorted stiff vision disturbances,Neurology,5
107,i think it's abdominal blood dark skin yellowish loss transfusion yellow itching of receiving appetite eyes urine yellowing lethargy pain injections of urine receiving unsterile fatigue malaise,Gastroenterology,3
108,i feel stiffness neck swelling painful walking joints stiff movement lately,Orthopedics,6
109,dealing with scurring blackheads pimples filled pus skin rash,Dermatology,1
110,i am having and blurred and anxiety drying excessive hunger irritability headache vomiting lips tingling speech distorted slurred sweating palpitations fatigue nausea vision,Endocrinology,2
111,my main issue is dark of pain joint skin mild diarrhoea vomiting loss muscle appetite nausea yellowing yellowish abdominal eyes of pain pain urine fever,Gastroenterology,3
112,i have high pain pain headache pain loss vomiting over fatigue malaise appetite behind of red pain skin nausea muscle fever joint back rash the spots body chills eyes,Infectious,4
113,i am having urination skin rash itching micturition spotting burning,Dermatology,1
114,i think it's in dizziness balance limbs pain weakness of neck loss,Neurology,5
115,my main issue is dehydration sunken diarrhoea eyes,Gastroenterology,3
116,i am having skin silver skin small in like peeling dusting joint pain dents rash nails,Dermatology,1
117,i think it's fever nausea chills diarrhoea headache vomiting sweating high pain muscle,Infectious,4
118,i am having high fever in wasting throat muscle patches,Infectious,4
119,experiencing and irritability blurred visual acidity hunger indigestion excessive headache neck stiff depression disturbances vision distorted,Neurology,5
120,suffering from eyes skin appetite pain spots muscle fever behind headache joint of over vomiting chills high pain nausea the malaise back pain rash red pain loss body,Infectious,4
121,feeling skin rash of fever nausea joint loss red chills the malaise spots vomiting back pain high pain headache behind over pain fatigue pain appetite body eyes muscle,Infectious,4
122,i am having rash skin appetite vomiting nausea chills fatigue muscle eyes headache fever the high malaise behind joint pain back loss pain pain of pain,Infectious,4
123,experiencing appetite acute joint dark pain nausea yellowing stomach yellowish coma failure fever fatigue bleeding of high eyes urine abdominal pain liver of loss skin,Gastroenterology,3
124,i think it's stiff stiffness joints neck muscle painful weakness movement walking swelling,Orthopedics,6
125,dealing with burning skin rash itching micturition stomach spotting urination pain,Dermatology,1
126,suffering from skin nose around fever red blister sore rash high,Dermatology,1
127,feeling rate excessive restlessness hunger abnormal irritability fast swings muscle weakness fatigue menstruation sweating mood weight heart loss,Endocrinology,2
128,feeling stiff excessive neck depression hunger indigestion disturbances and headache irritability distorted vision visual blurred acidity,Neurology,5
129,suffering from breathlessness chest vomiting pain,Cardiology,0
130,dealing with joint liver coma skin dark yellowish vomiting nausea of bleeding failure abdominal high stomach eyes yellowing acute of appetite urine loss pain pain fever fatigue,Gastroenterology,3
131,i have throat lymph continuous chest fever smell high sneezing eyes phlegm runny pressure congestion redness headache chills pain nodes swelled fatigue loss of muscle of sinus pain nose malaise cough irritation,Pulmonology,7
132,suffering from history appetite of loss fatigue yellowing family eyes skin of nausea yellowish,Gastroenterology,3
133,i think it's body of vomiting sensorium one altered side weakness,Neurology,5
134,having abdominal toxic look headache belly diarrhoea constipation fatigue chills (typhos) vomiting pain high fever nausea pain,Infectious,4
135,experiencing fatigue high family cough sputum breathlessness mucoid fever history,Pulmonology,7
136,i am having vomiting headache weakness one of sensorium altered side body,Neurology,5
137,experiencing eyes shivering from chills continuous sneezing watering,Dermatology,1
138,suffering from abdominal consumption pain skin of alcohol distention history of yellowish fluid swelling overload abdomen stomach of,Gastroenterology,3
139,i think it's swollen obesity legs bruising vessels swollen blood veins calf on cramps fatigue prominent,Cardiology,0
140,feeling urine continuous burning micturition discomfort of bladder feel,Urology,8
141,my main issue is of loss appetite yellowing history fatigue eyes nausea skin yellowish of family,Gastroenterology,3
142,experiencing hunger stiff distorted vision disturbances and excessive neck indigestion visual acidity blurred headache depression,Neurology,5
143,dealing with muscle patches marital wasting high throat contacts extra fever in,Infectious,4
144,i am having chills fast chest pain breathlessness heart phlegm high malaise fever rate cough fatigue rusty sweating sputum,Pulmonology,7
145,my main issue is phlegm rate high fatigue sputum chills breathlessness heart cough chest rusty malaise sweating fever fast pain,Pulmonology,7
146,having high marital fever patches throat in contacts extra,Infectious,4
147,my main issue is silver pain peeling joint nails nails small like inflammatory skin rash skin in dents dusting,Dermatology,1
148,i think it's of yellowing history nausea eyes family fatigue skin yellowish,Gastroenterology,3
149,i feel pain vomiting malaise eyes loss muscle the skin pain of high back chills pain pain over fever appetite red spots body joint rash headache fatigue nausea behind lately,Infectious,4
150,my main issue is abdominal pain vomiting high yellowish fatigue itching dark urine fever skin,Gastroenterology,3
151,suffering from eyes weight abnormal fatigue feets lethargy nails puffy thyroid extremeties swollen face irritability cold and and gain brittle menstruation dizziness swings hands enlarged depression mood,Endocrinology,2
152,i have altered headache sensorium vomiting,Neurology,5
153,i feel restlessness mood swings fatigue sweating heart loss weight menstruation weakness rate hunger irritability fast abnormal muscle excessive lately,Endocrinology,2
154,i am having spotting rash micturition urination itching burning skin stomach pain,Dermatology,1
155,feeling itching micturition skin stomach burning pain rash,Dermatology,1
156,my main issue is vomiting eyes sunken diarrhoea dehydration,Gastroenterology,3
157,i am having chills from shivering eyes watering continuous sneezing,Dermatology,1
158,i feel palpitations distorted slurred vision tingling headache nausea anxiety and irritability drying sweating blurred and vomiting hunger fatigue excessive lips speech lately,Endocrinology,2
159,my main issue is chills muscle vomiting sweating high headache nausea diarrhoea pain fever,Infectious,4
160,i think it's chest redness high sinus nose nodes sneezing loss smell fever chills headache congestion lymph malaise eyes throat of pain pressure muscle continuous irritation of phlegm fatigue swelled pain runny,Pulmonology,7
161,feeling body high the appetite malaise pain pain behind muscle back fever eyes headache joint pain spots over pain fatigue chills skin of loss rash red nausea,Infectious,4
162,dealing with yellowing loss fatigue of appetite abdominal of vomiting skin urine dark yellowish nausea pain eyes,Gastroenterology,3
163,experiencing pain fever skin pain muscle the eyes behind of back malaise over red pain rash vomiting spots headache fatigue loss high joint chills body pain nausea appetite,Infectious,4
164,having marital throat muscle contacts extra patches wasting in,Infectious,4
165,i am having in back dizziness limbs pain weakness neck balance of pain loss,Neurology,5
166,suffering from contacts throat in high patches marital muscle extra fever wasting,Infectious,4
167,experiencing diarrhoea high chills pain muscle vomiting nausea sweating fever headache,Infectious,4
168,suffering from nausea vomiting hunger lips headache distorted drying irritability palpitations tingling speech anxiety excessive fatigue blurred and vision slurred and sweating,Endocrinology,2
169,having pain skin small in rash skin nails dents dusting joint peeling like silver inflammatory nails,Dermatology,1
170,feeling yellowing diarrhoea yellowish abdominal dark of of eyes vomiting skin joint pain nausea pain urine appetite pain fever muscle loss mild,Gastroenterology,3
171,i think it's patches skin skin itching eruptions dischromic nodal rash,Dermatology,1
172,dealing with urine appetite dark loss mild abdominal pain yellowing eyes diarrhoea of skin joint pain of pain muscle nausea yellowish fever,Gastroenterology,3
173,experiencing rash skin pimples scurring pus filled blackheads,Dermatology,1
174,i have balance pain in back loss limbs neck weakness dizziness pain of,Neurology,5
175,i feel transfusion of itching injections dark urine yellowing receiving receiving yellowish fatigue eyes urine appetite abdominal unsterile loss malaise lethargy skin pain blood yellow of lately,Gastroenterology,3
176,my main issue is itching urination micturition stomach burning spotting pain,Dermatology,1
177,experiencing muscle heart hunger excessive sweating fatigue fast weakness rate mood weight irritability loss abnormal menstruation swings restlessness,Endocrinology,2
178,i am having chest breathlessness sweating pain vomiting,Cardiology,0
179,i am having spots red vomiting behind loss fatigue pain pain pain pain over chills body back skin joint of appetite eyes high the nausea muscle headache fever rash,Infectious,4
180,experiencing fatigue of eyes abdominal vomiting pain loss pain of joint dark appetite yellowing nausea urine,Gastroenterology,3
181,feeling loss of back pain dizziness balance neck pain,Neurology,5
182,i feel fever abdominal itching dark urine vomiting yellowish fatigue loss weight pain high skin lately,Gastroenterology,3
183,experiencing blackheads pimples rash skin pus filled scurring,Dermatology,1
184,suffering from vomiting fatigue pain pain loss rash appetite high spots of chills body skin behind red over headache back the eyes nausea joint fever malaise pain,Infectious,4
185,feeling skin pimples rash scurring pus filled,Dermatology,1
186,having fever nausea headache high sweating muscle vomiting diarrhoea pain,Infectious,4
187,suffering from dark yellowish vomiting skin weight fever high urine loss fatigue itching,Gastroenterology,3
188,i think it's fever nausea muscle sweating headache chills diarrhoea vomiting pain high,Infectious,4
189,i feel chills pain appetite chest sputum mild cough swelled fever nodes yellowing blood vomiting fatigue eyes weight sweating in malaise loss phlegm of lymph high fever of loss lately,Pulmonology,7
190,dealing with passage vomiting internal abdominal gases of indigestion pain itching,Gastroenterology,3
191,i am having chills continuous watering from eyes sneezing,Dermatology,1
192,having of skin dark nausea abdominal urine eyes of loss vomiting appetite pain yellowish joint fatigue yellowing pain,Gastroenterology,3
193,having on blood swollen vessels obesity fatigue calf veins prominent swollen cramps legs,Cardiology,0
194,i have continuous shivering chills eyes sneezing watering from,Dermatology,1
195,feeling breathlessness vomiting pain chest,Cardiology,0
196,i feel of internal vomiting pain gases passage appetite of loss itching abdominal lately,Gastroenterology,3
197,i am having on tongue cough acidity vomiting pain ulcers chest,Gastroenterology,3
198,experiencing sensorium of side one altered body headache weakness,Neurology,5
199,i think it's internal abdominal passage of vomiting appetite itching loss indigestion of pain gases,Gastroenterology,3
200,dealing with like in silver skin pain dusting skin peeling inflammatory rash joint nails small dents nails,Dermatology,1
201,feeling pain fever spots appetite skin malaise of body behind high pain chills rash headache the back eyes pain nausea muscle pain vomiting loss red joint over fatigue,Infectious,4
202,dealing with eyes fever in sweating cough chest chills weight swelled mild of of high blood lymph breathlessness pain appetite fever fatigue yellowing nodes loss vomiting loss malaise sputum phlegm,Pulmonology,7
203,having hunger blurred stiff headache acidity and neck depression vision distorted indigestion visual disturbances excessive,Neurology,5
204,i am having blackheads pus filled skin scurring rash pimples,Dermatology,1
205,i am having joint pain yellowing vomiting skin dark urine loss nausea abdominal of yellowish fatigue appetite of pain eyes,Gastroenterology,3
206,having painful pain joints neck pain walking joint pain knee swelling,Orthopedics,6
207,i think it's continuous shivering from eyes sneezing watering,Dermatology,1
208,my main issue is sore ooze skin yellow high fever blister crust red nose rash around,Dermatology,1
209,i am having fatigue muscle heart mood weight fast loss rate menstruation irritability swings excessive hunger restlessness abnormal weakness sweating,Endocrinology,2
210,having movement swelling muscle walking stiffness painful stiff weakness joints neck,Orthopedics,6
211,having nausea urine yellowish of dark skin of yellowing eyes vomiting appetite pain pain joint abdominal loss fatigue,Gastroenterology,3
212,i feel vomiting pain joint appetite eyes yellowish yellowing of pain diarrhoea nausea pain mild fever skin muscle loss of abdominal lately,Gastroenterology,3
213,i think it's urine of injections yellowing itching appetite skin pain dark yellowish eyes abdominal receiving unsterile fatigue loss malaise urine receiving of blood transfusion yellow lethargy,Gastroenterology,3
214,i feel vomiting fever muscle chills headache nausea pain high diarrhoea sweating lately,Infectious,4
215,i am having chest pain breathlessness sweating vomiting,Cardiology,0
216,i have peeling nails dusting joint in inflammatory nails silver pain rash skin small skin like dents,Dermatology,1
217,experiencing peeling rash inflammatory skin silver dusting joint nails like nails small skin dents in pain,Dermatology,1
218,i think it's skin fatigue nausea appetite eyes of yellowish family yellowing of loss history,Gastroenterology,3
219,i have rate sweating cough phlegm chills sputum rusty fast fatigue heart chest pain fever high malaise,Pulmonology,7
220,feeling vomiting weight itching urine loss abdominal fever pain yellowish skin high dark fatigue,Gastroenterology,3
221,i am having joint knee pain swelling walking painful pain joints pain neck,Orthopedics,6
222,suffering from and indigestion vision blurred visual hunger headache neck depression acidity distorted excessive stiff disturbances,Neurology,5
223,dealing with pain loss of vomiting indigestion appetite abdominal gases of passage,Gastroenterology,3
224,having body side sensorium of weakness one headache altered,Neurology,5
225,i think it's loss indigestion passage pain vomiting abdominal appetite of gases internal itching of,Gastroenterology,3
226,i have vomiting of eyes weight chills malaise of appetite nodes breathlessness fever fever yellowing chest lymph mild pain high in loss cough sweating loss swelled sputum phlegm blood,Pulmonology,7
227,suffering from sneezing runny eyes irritation sinus high of redness cough malaise muscle pain nodes fever nose swelled chills smell loss fatigue continuous congestion of headache throat lymph chest phlegm pressure pain,Pulmonology,7
228,i think it's sensorium body vomiting one side altered of headache weakness,Neurology,5
229,my main issue is joints hip swelling painful knee pain walking pain joint joint pain,Orthopedics,6
230,dealing with rash blackheads pus scurring skin filled pimples,Dermatology,1
231,i am having of gases of passage itching vomiting loss pain abdominal internal indigestion appetite,Gastroenterology,3
232,suffering from joints hip joint swelling pain knee joint walking pain painful pain,Orthopedics,6
233,i think it's fever sweating nausea high muscle chills headache pain diarrhoea,Infectious,4
234,i have distention fluid history abdominal of of pain overload skin abdomen yellowish consumption swelling alcohol of stomach vomiting,Gastroenterology,3
235,i think it's lips slurred excessive tingling fatigue anxiety nausea palpitations vision irritability speech and and headache drying sweating hunger vomiting blurred distorted,Endocrinology,2
236,feeling mucoid sputum breathlessness cough family fatigue history,Pulmonology,7
237,i am having rate pain chest rusty high fever sweating malaise cough chills sputum phlegm fatigue fast heart,Pulmonology,7
238,dealing with pain hip joint swelling neck joint knee pain joints walking painful pain pain,Orthopedics,6
239,my main issue is headache distorted vision depression and hunger stiff disturbances indigestion visual irritability excessive neck blurred,Neurology,5
240,suffering from joint hip painful knee pain neck pain walking joint swelling pain pain joints,Orthopedics,6
241,i have breathlessness pain fatigue phlegm heart sputum chest high fever rate cough fast malaise sweating rusty,Pulmonology,7
242,feeling rash high yellow nose around crust sore ooze fever red skin blister,Dermatology,1
243,feeling shivering watering eyes sneezing continuous from,Dermatology,1
244,feeling filled blackheads pimples scurring pus,Dermatology,1
245,i have excessive abnormal muscle diarrhoea weakness menstruation fatigue hunger mood irritability swings loss restlessness sweating weight,Endocrinology,2
246,experiencing from sneezing watering eyes chills shivering continuous,Dermatology,1
247,i am having loss neck balance pain weakness limbs pain back dizziness in of,Neurology,5
248,dealing with dizziness pain pain loss back balance of neck,Neurology,5
249,feeling loss yellowish history skin nausea fatigue appetite of family,Gastroenterology,3
250,i am having sweating hunger weakness diarrhoea weight fatigue mood irritability loss excessive restlessness swings abnormal menstruation muscle,Endocrinology,2
251,feeling pain painful joint joints neck pain pain swelling hip walking knee,Orthopedics,6
252,experiencing appetite fever mild of pain abdominal eyes pain pain yellowing loss joint nausea vomiting skin of urine muscle yellowish diarrhoea dark,Gastroenterology,3
253,i have abdominal vomiting fatigue high skin weight yellowish urine fever loss dark pain,Gastroenterology,3
254,i think it's loss appetite pain gases indigestion abdominal vomiting itching of internal passage of,Gastroenterology,3
255,my main issue is appetite pain skin of loss pain joint nausea eyes urine vomiting of dark fatigue yellowish abdominal yellowing,Gastroenterology,3
256,feeling sweating high fever swelled breathlessness fatigue eyes pain nodes blood sputum malaise loss yellowing appetite chest loss cough vomiting chills in fever phlegm of of weight lymph mild,Pulmonology,7
257,my main issue is feel of discomfort bladder urine smell urine micturition continuous of foul burning,Urology,8
258,feeling mood swollen fatigue face lethargy menstruation dizziness enlarged abnormal cold and nails feets swings depression eyes puffy thyroid extremeties and brittle hands irritability,Endocrinology,2
259,experiencing in blood mild appetite eyes chills loss phlegm high sputum yellowing breathlessness chest loss swelled pain fatigue of of malaise vomiting fever sweating nodes cough fever weight lymph,Pulmonology,7
260,i think it's of smell of continuous burning bladder foul discomfort micturition feel urine urine,Urology,8
261,having pain pain stomach acidity chest cough on vomiting tongue ulcers,Gastroenterology,3
262,feeling muscle excessive fast hunger loss fatigue weight heart diarrhoea abnormal swings restlessness menstruation irritability weakness sweating rate mood,Endocrinology,2
263,experiencing sputum breathlessness cough mucoid history fever high family,Pulmonology,7
264,having inflammatory dusting nails skin joint rash skin like pain silver peeling,Dermatology,1
265,i feel in pain weakness neck loss back balance pain of dizziness limbs lately,Neurology,5
266,i feel history of overload yellowish consumption alcohol distention of abdomen fluid skin stomach of swelling vomiting lately,Gastroenterology,3
267,suffering from of skin the spots headache pain body muscle vomiting pain pain malaise high chills loss eyes appetite fatigue pain back behind nausea over red rash joint fever,Infectious,4
268,i have dizziness depression puffy gain extremeties eyes irritability brittle and face menstruation fatigue lethargy mood weight enlarged thyroid nails swollen swings abnormal,Endocrinology,2
269,dealing with pain failure fever liver dark joint vomiting pain of acute eyes abdominal urine skin appetite nausea of loss stomach bleeding high coma yellowish yellowing fatigue,Gastroenterology,3
270,having fatigue vessels cramps on calf swollen swollen prominent blood obesity legs veins,Cardiology,0
271,suffering from of family eyes yellowing yellowish nausea loss appetite fatigue history of skin,Gastroenterology,3
272,my main issue is lymph congestion nodes of throat redness of loss irritation sinus chills pressure muscle headache high pain chest eyes malaise runny continuous sneezing phlegm pain smell fever nose cough fatigue swelled,Pulmonology,7
273,experiencing legs on prominent swollen calf fatigue bruising swollen cramps vessels veins blood,Cardiology,0
274,dealing with neck vision acidity hunger depression stiff indigestion visual blurred distorted irritability disturbances and excessive,Neurology,5
275,i have pain of yellowish alcohol of abdominal abdomen vomiting swelling of history stomach overload fluid skin distention consumption,Gastroenterology,3
276,i have neck weakness balance back in limbs of loss dizziness pain pain,Neurology,5
277,suffering from spotting rash stomach skin burning pain itching urination micturition,Dermatology,1
278,i have red of fever itching rash body spots high lymph fever mild headache lethargy over skin swelled appetite nodes malaise fatigue loss,Infectious,4
279,experiencing pain dizziness loss limbs neck back of balance pain in weakness,Neurology,5
280,i am having altered headache vomiting sensorium,Neurology,5
281,i have peeling inflammatory nails like nails skin joint in small silver dusting dents pain,Dermatology,1
282,i think it's in nails dusting silver skin joint nails dents rash skin inflammatory small like pain peeling,Dermatology,1
283,my main issue is and hunger acidity neck excessive distorted vision depression visual headache disturbances indigestion stiff irritability blurred,Neurology,5
284,suffering from skin patches skin itching rash eruptions dischromic nodal,Dermatology,1
285,my main issue is pus filled rash pimples blackheads scurring skin,Dermatology,1
286,i have breathlessness cough fever family fatigue high sputum mucoid history,Pulmonology,7
287,i have feel micturition continuous burning of smell urine urine bladder discomfort foul of,Urology,8
