text,label
dealing with extra high in wasting throat contacts marital patches fever muscle,Infectious
dealing with joints joint walking hip painful joint pain knee pain swelling neck pain pain,Orthopedics
i think it's pain alcohol of abdominal abdomen yellowish distention of overload fluid stomach history vomiting of consumption swelling skin,Gastroenterology
having loss neck in weakness of pain limbs pain balance back dizziness,Neurology
dealing with walking pain joints pain swelling hip joint joint knee pain painful,Orthopedics
having history of swelling abdomen abdominal distention vomiting consumption of skin overload stomach fluid yellowish alcohol of pain,Gastroenterology
having throat muscle high wasting in patches fever,Infectious
feeling mood thyroid abnormal and swollen hands and puffy fatigue enlarged feets brittle depression gain cold weight menstruation extremeties face irritability dizziness swings nails eyes,Endocrinology
i think it's fatigue nausea yellowish eyes yellowing liver abdominal acute of appetite of pain joint stomach loss vomiting skin pain bleeding urine dark failure high coma fever,Gastroenterology
feeling appetite yellowing of pain eyes loss abdominal of itching vomiting nausea,
suffering from bruising prominent on veins fatigue cramps calf legs swollen obesity,Cardiology
experiencing high patches extra muscle marital wasting in contacts fever throat,Infectious
dealing with skin itching skin rash eruptions nodal,Dermatology
feeling of eyes loss skin fatigue yellowish yellowing appetite family nausea of history,Gastroenterology
i have sweating heart excessive swings muscle fatigue hunger menstruation diarrhoea abnormal restlessness mood fast loss weakness irritability rate weight,Endocrinology
having family fatigue high fever cough history breathlessness sputum mucoid,Pulmonology
i feel micturition spotting burning urination skin pain rash stomach lately,Dermatology
dealing with body fatigue pain over back headache nausea joint fever behind malaise vomiting the red loss rash eyes spots chills high pain appetite pain of skin,Infectious
suffering from nausea muscle pain headache vomiting sweating fever high chills,Infectious
i think it's cough high sputum history fatigue breathlessness family fever mucoid,Pulmonology
suffering from muscle restlessness mood diarrhoea hunger swings weakness fast heart abnormal excessive rate menstruation weight irritability fatigue loss,Endocrinology
i am having loss weight loss pain blood nodes eyes appetite chills cough vomiting fever sputum in sweating yellowing mild breathlessness phlegm fatigue high lymph swelled of of fever chest malaise,Pulmonology
my main issue is cough stomach vomiting tongue acidity pain on pain chest ulcers,Gastroenterology
i feel acidity vomiting on pain stomach ulcers tongue chest pain cough lately,Gastroenterology
suffering from red fever around skin high crust rash yellow sore ooze nose blister,Dermatology
having vomiting altered side body one headache sensorium of weakness,Neurology
i feel limbs pain dizziness pain neck weakness back in lately,Neurology
feeling sore blister crust yellow rash red nose ooze around skin,Dermatology
having family fatigue mucoid cough sputum fever breathlessness high history,Pulmonology
dealing with chest pain breathlessness vomiting sweating,Cardiology
having joints swelling movement painful stiffness walking muscle stiff neck weakness,Orthopedics
i feel yellowing of appetite pain of loss eyes abdominal vomiting yellowish skin nausea lately,
i think it's continuous burning foul micturition urine smell of urine feel of,Urology
dealing with loss neck limbs dizziness balance weakness of back pain in pain,Neurology
i have pain joint joint swelling walking joints pain neck hip pain painful,Orthopedics
i feel eyes rash loss over pain nausea the back high pain joint malaise body appetite red fatigue pain skin behind muscle headache spots of chills pain vomiting fever lately,Infectious
my main issue is headache of skin lymph lethargy appetite loss malaise fatigue spots mild rash fever nodes itching swelled red body over,Infectious
having spinning balance movements vomiting unsteadiness headache loss nausea of,
feeling burning of micturition continuous feel urine foul discomfort of bladder smell urine,Urology
having in high throat extra muscle marital wasting contacts patches fever,Infectious
having neck swelling painful stiff joints walking movement muscle weakness stiffness,Orthopedics
feeling weight fatigue skin itching vomiting loss fever pain yellowish dark high urine abdominal,Gastroenterology
my main issue is skin red joint the appetite behind over vomiting body of nausea loss malaise spots pain chills pain pain muscle back fatigue headache high rash fever pain eyes,Infectious
feeling pimples rash skin pus blackheads filled,Dermatology
i am having swollen legs swollen vessels obesity bruising fatigue cramps blood,Cardiology
my main issue is joint nails dents like pain dusting rash silver inflammatory skin nails small in,Dermatology
i feel drying excessive vision slurred distorted fatigue vomiting anxiety lips nausea irritability blurred speech tingling and headache hunger palpitations and sweating lately,Endocrinology
i think it's sunken vomiting dehydration diarrhoea eyes,Gastroenterology
having vomiting yellowing joint of bleeding failure liver skin pain yellowish stomach abdominal loss fatigue of pain urine eyes nausea acute coma dark appetite,Gastroenterology
i feel stomach acidity cough tongue pain on ulcers pain chest lately,Gastroenterology
my main issue is itching spotting burning urination stomach micturition pain,Dermatology
i feel abdomen pain abdominal stomach consumption of alcohol distention swelling fluid history overload vomiting of of lately,Gastroenterology
dealing with in marital muscle wasting throat patches contacts fever high extra,Infectious
suffering from muscle headache vomiting high nausea pain fever diarrhoea chills sweating,Infectious
having eyes vomiting headache pain skin of high pain fever the back muscle nausea over red appetite behind pain malaise spots joint loss fatigue rash pain body,Infectious
i think it's menstruation hunger irritability fast fatigue abnormal muscle loss rate diarrhoea swings mood sweating heart restlessness weakness weight excessive,Endocrinology
dealing with irritability vision stiff headache blurred hunger depression indigestion acidity distorted and neck excessive,Neurology
having eyes vomiting sunken diarrhoea,Gastroenterology
i feel sweating vomiting breathlessness chest pain lately,Cardiology
i think it's malaise injections blood fatigue receiving eyes yellow of loss receiving yellowing urine urine skin abdominal appetite unsterile lethargy yellowish transfusion of pain dark,Gastroenterology
experiencing hunger drying irritability and and nausea vision sweating tingling anxiety lips fatigue excessive palpitations distorted speech blurred slurred headache,Endocrinology
experiencing yellowish alcohol of abdomen stomach history skin consumption overload of pain abdominal fluid vomiting swelling of distention,Gastroenterology
my main issue is in wasting patches high muscle fever marital throat contacts extra,Infectious
dealing with tongue vomiting stomach cough acidity pain pain on ulcers chest,Gastroenterology
i think it's eruptions itching skin rash nodal skin,Dermatology
i think it's blackheads scurring pus filled rash skin pimples,Dermatology
experiencing urine discomfort of of smell urine continuous foul feel bladder,Urology
having burning urine urine foul bladder of continuous smell feel discomfort of micturition,Urology
i have fatigue urine weight fever high yellowish itching skin vomiting dark abdominal loss pain,Gastroenterology
i think it's heart menstruation abnormal rate fast restlessness mood weight excessive diarrhoea hunger irritability sweating muscle swings weakness loss,Endocrinology
dealing with nodal dischromic skin eruptions skin patches itching rash,Dermatology
feeling headache pain (typhos) nausea vomiting chills fatigue diarrhoea constipation belly fever pain look high toxic abdominal,Infectious
my main issue is joint nausea of vomiting pain yellowish abdominal dark skin urine fatigue loss appetite pain,Gastroenterology
my main issue is abdominal dark fever of of muscle joint vomiting pain loss yellowing mild eyes pain appetite skin yellowish pain urine nausea,Gastroenterology
having abnormal lethargy dizziness fatigue hands extremeties puffy enlarged and irritability swollen depression feets nails thyroid and cold menstruation weight gain eyes mood brittle swings face,Endocrinology
feeling continuous sneezing shivering eyes from chills watering,Dermatology
having injections dark appetite transfusion receiving yellowing urine malaise yellowish fatigue skin lethargy blood of of itching receiving urine pain eyes unsterile abdominal loss yellow,Gastroenterology
suffering from diarrhoea vomiting dehydration,Gastroenterology
having hip pain walking painful pain joint joint joints pain swelling knee neck pain,Orthopedics
experiencing of fatigue family history of eyes appetite nausea loss yellowing,Gastroenterology
i have pain spots loss pain pain eyes malaise muscle headache of appetite high pain behind vomiting fever rash body fatigue the joint skin red back nausea over chills,Infectious
suffering from heart rusty fast chest high phlegm cough breathlessness sweating fever sputum malaise pain fatigue rate,Pulmonology
i feel appetite of yellowing vomiting fatigue dark pain skin joint loss eyes nausea pain abdominal urine of yellowish lately,Gastroenterology
i am having painful stiffness stiff muscle joints walking swelling movement neck weakness,Orthopedics
i feel irritability vision excessive and indigestion stiff distorted visual blurred hunger acidity depression headache disturbances neck lately,Neurology
suffering from yellowing of transfusion unsterile lethargy receiving fatigue yellow loss injections blood of urine pain abdominal skin eyes urine dark itching receiving malaise yellowish appetite,Gastroenterology
having swelling painful stiffness stiff joints walking movement neck,Orthopedics
suffering from pus filled scurring blackheads rash pimples skin,Dermatology
i have irritability blurred distorted slurred excessive tingling vision and lips fatigue vomiting nausea anxiety headache palpitations hunger and sweating drying speech,Endocrinology
dealing with diarrhoea appetite mild joint of dark abdominal yellowish muscle fever yellowing skin pain eyes urine loss vomiting pain of pain nausea,Gastroenterology
feeling the loss pain appetite back muscle skin nausea of headache spots body fever pain malaise pain high vomiting pain rash chills over fatigue red eyes joint behind,Infectious
my main issue is urination spotting rash burning skin micturition itching,Dermatology
feeling balance of dizziness loss neck limbs in pain weakness,Neurology
i think it's dehydration diarrhoea sunken eyes,Gastroenterology
i am having skin in silver dusting joint small peeling pain skin rash like nails dents,Dermatology
i think it's diarrhoea sweating pain headache nausea fever vomiting chills muscle high,Infectious
i think it's patches fever throat in high wasting muscle,Infectious
having headache blurred indigestion and excessive visual distorted vision disturbances irritability acidity neck depression hunger stiff,Neurology
dealing with body nausea loss spots malaise fever of eyes pain over joint back muscle vomiting pain appetite red rash behind the pain high headache chills pain skin,Infectious
dealing with rash over malaise muscle body fever headache red pain eyes high loss joint spots nausea back behind fatigue vomiting appetite pain chills of pain the pain skin,Infectious
my main issue is pain back loss skin vomiting fever joint muscle headache behind fatigue appetite the pain chills eyes nausea pain of pain malaise rash high,Infectious
i have pain joint eyes urine high fatigue skin stomach of liver failure coma nausea fever pain bleeding of yellowish abdominal acute yellowing dark appetite loss,Gastroenterology
feeling nausea vomiting unsteadiness balance headache of loss,
feeling neck painful weakness stiff swelling movement joints muscle walking stiffness,Orthopedics
experiencing pain skin rash urination spotting itching stomach micturition burning,Dermatology
i think it's high rash nose around fever blister skin sore red,Dermatology
i have abnormal swings loss weakness weight mood restlessness hunger sweating menstruation muscle irritability fatigue excessive heart rate fast,Endocrinology
i feel irritability indigestion neck hunger distorted excessive disturbances headache visual depression blurred and vision acidity stiff lately,Neurology
i am having chest vomiting breathlessness pain,Cardiology
dealing with nausea eyes bleeding yellowish dark loss appetite high pain abdominal fatigue urine acute stomach failure vomiting coma liver of pain of fever yellowing skin joint,Gastroenterology
suffering from of continuous congestion nodes redness sinus muscle nose phlegm fatigue smell pain irritation runny eyes high lymph pain of fever cough loss chills pressure swelled headache throat sneezing malaise chest,Pulmonology
my main issue is fatigue yellowish history yellowing family of appetite skin eyes loss of nausea,Gastroenterology
i feel one sensorium side body altered vomiting of weakness lately,Neurology
i feel belly abdominal constipation fatigue pain vomiting toxic pain chills headache fever high diarrhoea nausea (typhos) look lately,Infectious
feeling sputum high cough fever fatigue family history breathlessness mucoid,Pulmonology
i think it's vomiting body weakness one altered headache side sensorium of,Neurology
having continuous eyes chills watering shivering sneezing from,Dermatology
having swelling yellowish of overload history fluid abdominal pain of abdomen consumption distention alcohol skin stomach of,Gastroenterology
dealing with calf veins blood prominent obesity fatigue vessels swollen cramps legs bruising swollen on,Cardiology
dealing with of continuous micturition urine feel burning bladder discomfort,Urology
i have of appetite history loss nausea skin yellowish eyes yellowing fatigue of family,Gastroenterology
experiencing stiff neck and vision blurred hunger indigestion disturbances headache acidity depression distorted visual excessive,Neurology
i feel fever patches high extra throat muscle wasting marital contacts in lately,Infectious
feeling malaise chest rate fatigue chills rusty breathlessness phlegm heart fever sputum sweating high fast pain cough,Pulmonology
experiencing rusty sputum cough chills malaise fever breathlessness fast chest sweating pain heart phlegm high rate fatigue,Pulmonology
i have in patches fever extra throat marital contacts high,Infectious
experiencing dusting pain peeling inflammatory nails skin nails joint skin dents in small rash like silver,Dermatology
i have yellowish eyes yellowing skin history family nausea fatigue of,Gastroenterology
dealing with nausea over fatigue joint headache eyes spots red muscle chills pain pain rash fever body back high pain the behind malaise appetite skin vomiting pain loss of,Infectious
my main issue is itching pain yellowish skin high fever fatigue abdominal vomiting urine dark,Gastroenterology
dealing with nausea of vomiting loss yellowing eyes pain itching abdominal appetite of,
i think it's eyes and extremeties enlarged gain cold puffy dizziness swollen brittle nails lethargy mood irritability depression hands fatigue feets swings thyroid abnormal and face weight menstruation,Endocrinology
my main issue is headache sensorium vomiting altered,Neurology
experiencing abnormal hunger heart mood weakness fatigue restlessness swings muscle excessive loss menstruation fast irritability sweating weight rate,Endocrinology
suffering from pain itching burning spotting skin rash micturition urination stomach,Dermatology
my main issue is itching skin burning rash micturition pain stomach,Dermatology
my main issue is eyes diarrhoea dehydration vomiting sunken,Gastroenterology
feeling continuous shivering watering sneezing chills eyes from,Dermatology
feeling fatigue vomiting headache drying and hunger speech blurred vision anxiety slurred irritability nausea lips sweating and tingling palpitations excessive distorted,Endocrinology
feeling high chills pain fever headache muscle sweating diarrhoea nausea vomiting,Infectious
i have nodes high throat of lymph pain sneezing redness swelled congestion muscle of chills fever malaise nose phlegm irritation fatigue loss sinus pressure pain continuous headache chest smell runny eyes,Pulmonology
experiencing behind pain eyes malaise pain fatigue the skin nausea high muscle over rash of pain chills spots fever joint body loss back appetite red pain headache,Infectious
suffering from yellowing skin fatigue vomiting urine pain yellowish abdominal nausea dark appetite of of eyes loss,Gastroenterology
my main issue is chills spots pain headache eyes fatigue of red pain over high back rash nausea muscle behind body pain pain loss fever malaise vomiting joint appetite the skin,Infectious
i feel patches marital muscle throat wasting in extra contacts lately,Infectious
i feel pain neck pain in dizziness back balance loss of weakness limbs lately,Neurology
i am having in muscle extra contacts fever patches marital throat high wasting,Infectious
my main issue is muscle sweating nausea high vomiting fever chills pain diarrhoea headache,Infectious
i feel vomiting slurred distorted irritability drying palpitations excessive nausea fatigue sweating tingling headache speech and and anxiety blurred vision hunger lips lately,Endocrinology
my main issue is dents pain in silver like inflammatory skin rash joint peeling nails skin small dusting nails,Dermatology
suffering from muscle of urine nausea abdominal mild joint of loss pain pain fever yellowish dark vomiting eyes diarrhoea appetite yellowing pain skin,Gastroenterology
i think it's eruptions nodal rash patches skin itching dischromic skin,Dermatology
suffering from of yellowing pain of skin eyes itching appetite yellowish abdominal loss vomiting,
i feel mild loss muscle pain skin abdominal nausea eyes yellowing diarrhoea of joint pain of pain appetite urine fever dark yellowish lately,Gastroenterology
i think it's pimples scurring filled blackheads rash pus skin,Dermatology
i have pain back balance pain neck limbs in of weakness loss dizziness,Neurology
my main issue is fatigue malaise unsterile yellowish urine loss itching of dark yellow skin transfusion abdominal receiving lethargy yellowing appetite blood receiving pain of eyes injections urine,Gastroenterology
i think it's spotting urination burning pain micturition stomach itching,Dermatology
having hunger restlessness mood loss excessive rate muscle fast abnormal sweating weakness irritability heart fatigue swings weight menstruation,Endocrinology
having pain chest sweating breathlessness vomiting,Cardiology
dealing with pain body eyes skin pain joint behind of high back rash loss nausea spots muscle the over pain fever red chills headache appetite vomiting fatigue pain,Infectious
i feel loss pain joint abdominal nausea of eyes of yellowing vomiting urine appetite fatigue pain dark lately,Gastroenterology
suffering from loss pain neck back of balance pain dizziness,Neurology
i feel fever yellowish itching urine fatigue pain loss dark weight abdominal skin vomiting high lately,Gastroenterology
feeling filled blackheads pimples rash scurring skin pus,Dermatology
suffering from loss nausea red of high malaise rash back behind pain fatigue spots pain joint pain fever appetite the chills body eyes skin vomiting headache over,Infectious
dealing with filled rash pus skin pimples scurring,Dermatology
i have vomiting pain headache high sweating fever diarrhoea muscle nausea,Infectious
having vomiting movements loss unsteadiness balance nausea spinning of,
i think it's vomiting urine skin loss fever weight high fatigue yellowish itching dark,Gastroenterology
suffering from pain headache vomiting nausea muscle high diarrhoea sweating chills fever,Infectious
dealing with phlegm in loss pain vomiting blood swelled fever cough appetite high chills fatigue sweating of weight chest mild lymph fever malaise sputum eyes of loss yellowing nodes,Pulmonology
i think it's pain vomiting passage indigestion itching of internal gases abdominal,Gastroenterology
i have watering continuous chills from sneezing eyes,Dermatology
suffering from of fatigue urine joint nausea loss pain abdominal appetite dark of yellowish pain skin eyes vomiting yellowing,Gastroenterology
i feel pain yellowish skin abdominal of itching of appetite yellowing loss eyes nausea vomiting lately,
i have blood legs prominent calf swollen swollen cramps vessels fatigue obesity veins on,Cardiology
dealing with continuous from eyes sneezing chills watering shivering,Dermatology
dealing with chest pain vomiting breathlessness,Cardiology
feeling pain of itching passage vomiting internal of gases loss appetite abdominal,Gastroenterology
i am having cough vomiting acidity chest ulcers pain tongue on,Gastroenterology
experiencing of body weakness one side altered sensorium headache,Neurology
i think it's internal of passage loss appetite pain vomiting indigestion abdominal itching of gases,Gastroenterology
my main issue is nails rash skin skin nails dents inflammatory like peeling small in silver dusting pain joint,Dermatology
i think it's skin fever pain headache pain chills spots joint the rash high pain fatigue over muscle behind eyes appetite body red malaise nausea pain of loss back vomiting,Infectious
i feel loss malaise yellowing eyes of sweating sputum nodes weight fever chest breathlessness in chills pain cough loss swelled vomiting appetite blood lymph mild fatigue fever high phlegm of lately,Pulmonology
dealing with acidity visual hunger neck distorted stiff disturbances headache indigestion vision depression blurred and excessive,Neurology
suffering from scurring pus pimples blackheads filled rash skin,Dermatology
i have yellowish pain joint loss nausea eyes vomiting yellowing abdominal urine of pain dark appetite of skin fatigue,Gastroenterology
feeling walking knee neck pain joints joint painful pain swelling pain,Orthopedics
i feel eyes watering shivering continuous from sneezing lately,Dermatology
i feel high red around fever nose blister skin sore yellow crust ooze rash lately,Dermatology
i have heart mood muscle irritability restlessness sweating fatigue weakness abnormal rate swings fast weight loss excessive hunger menstruation,Endocrinology
i am having painful walking muscle stiffness swelling weakness stiff neck movement joints,Orthopedics
i think it's of vomiting appetite fatigue loss eyes skin yellowing nausea abdominal of pain joint dark urine pain yellowish,Gastroenterology
i have eyes of nausea pain pain pain diarrhoea loss yellowish vomiting fever yellowing joint skin muscle appetite of abdominal mild,Gastroenterology
i am having of transfusion of yellowing abdominal fatigue receiving unsterile urine appetite malaise yellowish lethargy receiving eyes urine pain blood skin loss itching injections dark yellow,Gastroenterology
my main issue is sweating diarrhoea muscle headache high nausea fever pain vomiting chills,Infectious
dealing with vomiting pain chest sweating breathlessness,Cardiology
suffering from peeling small nails rash inflammatory skin joint in dusting nails pain like silver dents skin,Dermatology
i am having skin like small nails joint rash in nails dusting pain peeling inflammatory skin dents silver,Dermatology
my main issue is yellowish of of eyes yellowing nausea history loss skin fatigue appetite family,Gastroenterology
having pain fever chills chest high cough malaise fatigue phlegm heart sputum rate fast sweating rusty,Pulmonology
i feel dark high loss fever fatigue skin vomiting weight yellowish abdominal pain urine itching lately,Gastroenterology
having knee swelling pain joint pain walking neck painful pain joints,Orthopedics
i have blurred hunger indigestion neck depression vision disturbances acidity excessive visual distorted and headache stiff,Neurology
having of abdominal of passage loss gases vomiting appetite pain indigestion,Gastroenterology
i have sensorium side body altered of headache weakness one,Neurology
dealing with gases loss itching vomiting appetite passage of pain indigestion of internal abdominal,Gastroenterology
i feel chest nodes high loss of appetite fever sweating sputum lymph swelled vomiting cough eyes mild blood loss of yellowing pain malaise breathlessness fever chills in phlegm weight lately,Pulmonology
experiencing loss fever headache nose lymph pain swelled eyes redness chills runny muscle malaise throat irritation of smell sneezing congestion nodes sinus pain fatigue pressure continuous chest phlegm high cough of,Pulmonology
experiencing of body altered headache one side weakness vomiting sensorium,Neurology
experiencing pain pain walking pain hip joint painful joints joint swelling knee,Orthopedics
having filled blackheads rash skin pus scurring pimples,Dermatology
my main issue is internal itching vomiting of appetite pain loss gases abdominal indigestion passage of,Gastroenterology
experiencing pain pain joints joint joint pain walking painful swelling knee hip,Orthopedics
i think it's muscle fever headache diarrhoea high pain chills sweating nausea,Infectious
having skin swelling history consumption of vomiting alcohol distention of yellowish stomach pain of fluid abdominal overload abdomen,Gastroenterology
my main issue is vomiting vision and slurred sweating headache fatigue blurred lips tingling excessive palpitations and drying speech anxiety nausea distorted irritability hunger,Endocrinology
i have sputum breathlessness history mucoid cough fatigue family,Pulmonology
feeling fatigue pain phlegm heart high malaise fast sputum chills rate rusty cough sweating chest fever,Pulmonology
having knee pain joint joints walking painful joint neck pain pain swelling pain hip,Orthopedics
i feel excessive blurred disturbances neck depression indigestion hunger irritability headache stiff and distorted visual vision lately,Neurology
suffering from knee pain hip joint joint painful pain neck pain joints swelling walking pain,Orthopedics
i feel rusty rate malaise high fatigue cough chest sputum breathlessness fast heart phlegm sweating fever pain lately,Pulmonology
experiencing around ooze nose rash fever blister yellow skin high red crust sore,Dermatology
i think it's sneezing continuous from shivering watering eyes,Dermatology
experiencing blackheads pimples filled pus scurring,Dermatology
suffering from abnormal irritability swings muscle excessive hunger mood loss sweating weight fatigue weakness restlessness diarrhoea menstruation,Endocrinology
having watering shivering continuous chills eyes from sneezing,Dermatology
i am having pain pain in weakness loss limbs back neck of balance dizziness,Neurology
having of dizziness back pain neck balance pain loss,Neurology
i think it's nausea family fatigue appetite yellowish skin history loss of,Gastroenterology
suffering from diarrhoea loss excessive swings hunger menstruation weakness muscle sweating restlessness irritability abnormal weight mood fatigue,Endocrinology
having joint knee pain pain swelling neck joints painful walking hip pain,Orthopedics
having pain yellowish appetite loss muscle vomiting diarrhoea pain nausea fever eyes yellowing of of mild skin urine dark abdominal joint pain,Gastroenterology
i feel abdominal dark pain yellowish fever high skin vomiting loss fatigue urine weight lately,Gastroenterology
my main issue is gases of of indigestion appetite passage vomiting pain loss internal abdominal itching,Gastroenterology
suffering from loss of yellowish eyes joint urine vomiting abdominal dark skin nausea fatigue pain of yellowing pain appetite,Gastroenterology
i have yellowing nodes high of lymph fever sputum phlegm swelled chills fatigue blood of eyes in breathlessness sweating weight mild loss appetite malaise pain loss chest vomiting cough fever,Pulmonology
i feel of urine micturition burning discomfort smell of bladder feel urine continuous foul lately,Urology
having irritability hands lethargy depression thyroid swollen extremeties feets swings dizziness abnormal nails menstruation fatigue enlarged cold puffy brittle face and eyes and mood,Endocrinology
i am having appetite of breathlessness fatigue eyes blood vomiting loss sputum pain of loss chest phlegm chills lymph nodes high mild in fever sweating fever weight cough swelled yellowing malaise,Pulmonology
suffering from skin itching pain eyes vomiting nausea of yellowish yellowing abdominal,
dealing with urine continuous feel bladder urine of of foul burning micturition discomfort smell,Urology
i have chest stomach vomiting pain tongue pain on acidity cough ulcers,Gastroenterology
i feel weakness hunger abnormal loss irritability muscle diarrhoea excessive fast heart sweating swings mood fatigue weight restlessness menstruation rate lately,Endocrinology
suffering from high cough family fever breathlessness sputum history mucoid,Pulmonology
i have silver inflammatory dusting nails like skin peeling joint skin pain rash,Dermatology
i am having pain back pain balance limbs loss weakness dizziness neck of in,Neurology
experiencing alcohol of consumption skin of abdomen vomiting distention fluid stomach history yellowish of swelling overload,Gastroenterology
suffering from skin pain the vomiting high nausea fatigue eyes pain malaise red fever behind spots body headache muscle over rash joint pain of back chills pain loss appetite,Infectious
my main issue is dizziness menstruation face puffy irritability nails swollen weight gain and fatigue enlarged mood lethargy thyroid depression eyes extremeties swings brittle abnormal,Endocrinology
experiencing skin fever of abdominal dark high vomiting joint coma appetite bleeding pain nausea fatigue yellowing eyes failure liver urine stomach yellowish acute pain loss of,Gastroenterology
i feel vessels cramps legs swollen calf swollen blood prominent obesity fatigue on veins lately,Cardiology
i am having loss skin yellowish of nausea of history fatigue yellowing appetite eyes family,Gastroenterology
i have sneezing smell nodes swelled fatigue lymph irritation pain cough muscle chest nose sinus throat headache runny phlegm malaise pain loss fever chills eyes high of continuous of congestion pressure redness,Pulmonology
feeling swollen fatigue cramps blood calf on prominent swollen vessels legs bruising veins,Cardiology
dealing with disturbances distorted acidity vision excessive indigestion stiff depression hunger neck and blurred irritability visual,Neurology
feeling of swelling distention yellowish abdomen vomiting consumption fluid abdominal pain alcohol of overload skin history of stomach,Gastroenterology
having dizziness limbs neck back weakness loss in pain pain balance of,Neurology
feeling rash itching pain stomach urination skin spotting micturition burning,Dermatology
having rash of body fever fatigue nodes over headache swelled malaise lethargy itching mild lymph spots high loss skin red appetite fever,Infectious
experiencing of pain weakness neck in limbs balance back dizziness loss pain,Neurology
having headache sensorium vomiting altered,Neurology
my main issue is like nails in peeling dusting pain dents inflammatory nails joint skin small silver,Dermatology
suffering from like skin nails rash dusting inflammatory joint pain silver small nails in dents peeling skin,Dermatology
i am having hunger excessive visual blurred stiff vision acidity and irritability headache distorted neck depression indigestion disturbances,Neurology
experiencing rash dischromic itching eruptions skin nodal skin patches,Dermatology
i feel blackheads pimples pus filled rash skin scurring lately,Dermatology
i have mucoid history sputum fatigue family fever cough breathlessness high,Pulmonology
i have of continuous of urine urine burning micturition smell bladder foul feel discomfort,Urology
dealing with high belly chills look fever pain constipation (typhos) fatigue vomiting headache pain toxic abdominal nausea,Infectious
i have headache one of side body vomiting sensorium weakness altered,Neurology
i think it's fever cough rate pain malaise high chills phlegm fast chest rusty heart breathlessness sputum fatigue sweating,Pulmonology
feeling of history vomiting stomach abdominal overload of of consumption skin yellowish abdomen distention pain fluid swelling alcohol,Gastroenterology
suffering from vomiting dehydration diarrhoea,Gastroenterology
dealing with cough pain pain tongue acidity on chest ulcers stomach,Gastroenterology
i have pain pain joint neck walking knee hip pain joint pain painful joints swelling,Orthopedics
i feel loss dizziness pain weakness pain of limbs balance neck in back lately,Neurology
suffering from sore ooze blister crust nose skin rash yellow red around,Dermatology
experiencing fatigue swollen vessels cramps calf veins bruising swollen blood legs on prominent obesity,Cardiology
i feel cough sputum breathlessness high fatigue fever mucoid history family lately,Pulmonology
i think it's pain of alcohol consumption abdominal overload skin fluid swelling vomiting stomach of yellowish of abdomen history distention,Gastroenterology
i have abnormal menstruation fatigue dizziness puffy swollen enlarged eyes irritability extremeties and brittle face feets weight depression gain cold swings and thyroid mood nails hands lethargy,Endocrinology
i feel muscle joint abdominal diarrhoea fever urine pain pain skin yellowish vomiting mild yellowing dark nausea of pain eyes lately,Gastroenterology
feeling high muscle marital fever wasting throat contacts patches in extra,Infectious
i have sweating pain breathlessness chest,Cardiology
i feel lymph body loss spots of swelled appetite over rash fever malaise nodes skin mild fever high headache fatigue red itching lately,Infectious
dealing with spinning unsteadiness movements loss nausea of balance vomiting headache,
